seed,pr,strat,cell,n_pos,fnr_clean,fnr_atk,asr_rel,sens_clean,sens_atk,auroc_clean,auroc_atk
42,1.0,race_x_sex,BLACK_OR_AA_F,750,0.23066666666666666,0.5306666666666666,0.38994800693240894,0.7693333333333333,0.4693333333333334,0.8936137879214803,0.8595777214238752
42,1.0,race_x_sex,BLACK_OR_AA_M,545,0.23302752293577983,0.5651376146788991,0.4330143540669857,0.7669724770642201,0.4348623853211009,0.8777344700543457,0.8248863350139387
42,1.0,race_x_sex,WHITE_F,3643,0.1314850398023607,0.18967883612407357,0.06700379266750948,0.8685149601976393,0.8103211638759265,0.8989738403045338,0.8957656546494209
42,1.0,race_x_sex,WHITE_M,4209,0.1641720123544785,0.24471370871941078,0.09636156907333711,0.8358279876455215,0.7552862912805892,0.8781558254334508,0.870681423468792
42,1.0,race_x_age,BLACK_OR_AA_young,399,0.24060150375939848,0.5538847117794486,0.4125412541254126,0.7593984962406015,0.44611528822055135,0.9250037889709524,0.8781929011318859
42,1.0,race_x_age,BLACK_OR_AA_mid,412,0.2815533980582524,0.6067961165048543,0.45270270270270263,0.7184466019417476,0.3932038834951457,0.8533324364099635,0.8240785485217238
42,1.0,race_x_age,BLACK_OR_AA_old,484,0.18181818181818182,0.4855371900826446,0.3712121212121212,0.8181818181818181,0.5144628099173554,0.8447190218350094,0.7899907041756572
42,1.0,race_x_age,WHITE_young,1670,0.19640718562874251,0.29101796407185626,0.1177347242921013,0.8035928143712575,0.7089820359281438,0.9090251216948504,0.9025735667026014
42,1.0,race_x_age,WHITE_mid,2850,0.15017543859649124,0.21859649122807018,0.08051197357555738,0.8498245614035087,0.7814035087719298,0.8745220663526521,0.867291453341525
42,1.0,race_x_age,WHITE_old,3332,0.12424969987995198,0.1836734693877551,0.06785469499657301,0.8757503001200481,0.8163265306122449,0.8698372822497341,0.8659479076701948
123,0.65,race_x_sex,BLACK_OR_AA_F,750,0.24533333333333332,0.38533333333333336,0.18551236749116612,0.7546666666666667,0.6146666666666667,0.896887010425472,0.8885178923640462
123,0.65,race_x_sex,BLACK_OR_AA_M,545,0.23486238532110093,0.41467889908256883,0.23501199040767387,0.7651376146788991,0.5853211009174312,0.881078888836711,0.869545895039724
123,0.65,race_x_sex,WHITE_F,3643,0.13972001097996156,0.18583584957452648,0.05360561582641991,0.8602799890200384,0.8141641504254735,0.9006883922312084,0.8985928443145428
123,0.65,race_x_sex,WHITE_M,4209,0.19387027797576623,0.24114991684485626,0.058650162098437944,0.8061297220242338,0.7588500831551437,0.8763974119795181,0.8747864860091686
123,0.65,race_x_age,BLACK_OR_AA_young,399,0.2531328320802005,0.39097744360902253,0.18456375838926173,0.7468671679197996,0.6090225563909775,0.9218926741632844,0.9166301631660272
123,0.65,race_x_age,BLACK_OR_AA_mid,412,0.28883495145631066,0.48058252427184467,0.2696245733788396,0.7111650485436893,0.5194174757281553,0.8599337466502658,0.8523220247770504
123,0.65,race_x_age,BLACK_OR_AA_old,484,0.19008264462809918,0.33264462809917356,0.1760204081632653,0.8099173553719008,0.6673553719008265,0.8543829472512858,0.8373697227537353
123,0.65,race_x_age,WHITE_young,1670,0.22275449101796407,0.25868263473053893,0.04622496147919877,0.7772455089820359,0.7413173652694611,0.9097409737562799,0.9079558317034048
123,0.65,race_x_age,WHITE_mid,2850,0.17228070175438598,0.21894736842105264,0.05637982195845696,0.8277192982456141,0.7810526315789473,0.8720732643866476,0.8707763044121327
123,0.65,race_x_age,WHITE_old,3332,0.13865546218487396,0.1908763505402161,0.06062717770034843,0.8613445378151261,0.8091236494597839,0.870687772483337,0.8686964376898546
123,0.75,race_x_sex,BLACK_OR_AA_F,750,0.24533333333333332,0.38266666666666665,0.18197879858657243,0.7546666666666667,0.6173333333333333,0.896887010425472,0.8853310791772331
123,0.75,race_x_sex,BLACK_OR_AA_M,545,0.23486238532110093,0.41651376146788993,0.23741007194244607,0.7651376146788991,0.58348623853211,0.881078888836711,0.8513723045922789
123,0.75,race_x_sex,WHITE_F,3643,0.13972001097996156,0.12928904748833378,-0.012125079770261648,0.8602799890200384,0.8707109525116662,0.9006883922312084,0.8976419986748756
123,0.75,race_x_sex,WHITE_M,4209,0.19387027797576623,0.1758137324780233,-0.022399056881815507,0.8061297220242338,0.8241862675219767,0.8763974119795181,0.8740418577279058
123,0.75,race_x_age,BLACK_OR_AA_young,399,0.2531328320802005,0.40100250626566414,0.19798657718120802,0.7468671679197996,0.5989974937343359,0.9218926741632844,0.907534784601622
123,0.75,race_x_age,BLACK_OR_AA_mid,412,0.28883495145631066,0.4538834951456311,0.23208191126279867,0.7111650485436893,0.5461165048543689,0.8599337466502658,0.8482975387690551
123,0.75,race_x_age,BLACK_OR_AA_old,484,0.19008264462809918,0.3450413223140496,0.19132653061224492,0.8099173553719008,0.6549586776859504,0.8543829472512858,0.8212818398946926
123,0.75,race_x_age,WHITE_young,1670,0.22275449101796407,0.20059880239520958,-0.028505392912172578,0.7772455089820359,0.7994011976047904,0.9097409737562799,0.9066898282583388
123,0.75,race_x_age,WHITE_mid,2850,0.17228070175438598,0.1512280701754386,-0.02543450614667233,0.8277192982456141,0.8487719298245614,0.8720732643866476,0.8711468359614991
123,0.75,race_x_age,WHITE_old,3332,0.13865546218487396,0.13355342136854742,-0.005923344947735198,0.8613445378151261,0.8664465786314526,0.870687772483337,0.8662691351859574
123,1.0,race_x_sex,BLACK_OR_AA_F,750,0.24533333333333332,0.5306666666666666,0.3780918727915194,0.7546666666666667,0.4693333333333334,0.896887010425472,0.8480745749976519
123,1.0,race_x_sex,BLACK_OR_AA_M,545,0.23486238532110093,0.4954128440366973,0.34052757793764993,0.7651376146788991,0.5045871559633027,0.881078888836711,0.8068403908794788
123,1.0,race_x_sex,WHITE_F,3643,0.13972001097996156,0.1482294811968158,0.009891512444160824,0.8602799890200384,0.8517705188031842,0.9006883922312084,0.8977354109148459
123,1.0,race_x_sex,WHITE_M,4209,0.19387027797576623,0.19505820860061773,0.0014736221632773343,0.8061297220242338,0.8049417913993823,0.8763974119795181,0.8731541945456439
123,1.0,race_x_age,BLACK_OR_AA_young,399,0.2531328320802005,0.48621553884711777,0.3120805369127516,0.7468671679197996,0.5137844611528822,0.9218926741632844,0.8717932367792638
123,1.0,race_x_age,BLACK_OR_AA_mid,412,0.28883495145631066,0.558252427184466,0.378839590443686,0.7111650485436893,0.441747572815534,0.8599337466502658,0.8124546962175461
123,1.0,race_x_age,BLACK_OR_AA_old,484,0.19008264462809918,0.5041322314049587,0.38775510204081626,0.8099173553719008,0.49586776859504134,0.8543829472512858,0.7661862693210655
123,1.0,race_x_age,WHITE_young,1670,0.22275449101796407,0.22574850299401197,0.0038520801232665588,0.7772455089820359,0.774251497005988,0.9097409737562799,0.9060083550482605
123,1.0,race_x_age,WHITE_mid,2850,0.17228070175438598,0.1782456140350877,0.007206443408223792,0.8277192982456141,0.8217543859649123,0.8720732643866476,0.86929318269734
123,1.0,race_x_age,WHITE_old,3332,0.13865546218487396,0.14285714285714285,0.0048780487804877875,0.8613445378151261,0.8571428571428572,0.870687772483337,0.8679444208290968
7,0.65,race_x_sex,BLACK_OR_AA_F,750,0.244,0.432,0.24867724867724866,0.756,0.5680000000000001,0.8945701136470368,0.8859094580633043
7,0.65,race_x_sex,BLACK_OR_AA_M,545,0.26238532110091745,0.45321100917431195,0.2587064676616916,0.7376146788990825,0.546788990825688,0.8795983623703791,0.8654449904158539
7,0.65,race_x_sex,WHITE_F,3643,0.14136700521548173,0.19434531979138073,0.06170076726342712,0.8586329947845183,0.8056546802086193,0.8997536925648545,0.8954458314315605
7,0.65,race_x_sex,WHITE_M,4209,0.18460441910192446,0.23829888334521265,0.06585081585081586,0.8153955808980755,0.7617011166547873,0.8770614795805368,0.8717524824298444
7,0.65,race_x_age,BLACK_OR_AA_young,399,0.2781954887218045,0.45614035087719296,0.2465277777777778,0.7218045112781954,0.543859649122807,0.9211053075165789,0.9151709472797037
7,0.65,race_x_age,BLACK_OR_AA_mid,412,0.28883495145631066,0.5024271844660194,0.3003412969283277,0.7111650485436893,0.4975728155339806,0.8585705146509687,0.8474889348943461
7,0.65,race_x_age,BLACK_OR_AA_old,484,0.19834710743801653,0.3760330578512397,0.2216494845360825,0.8016528925619835,0.6239669421487604,0.8510708857495691,0.8277600795234024
7,0.65,race_x_age,WHITE_young,1670,0.2155688622754491,0.2718562874251497,0.07175572519083973,0.7844311377245509,0.7281437125748502,0.9097838351179518,0.9014927871733673
7,0.65,race_x_age,WHITE_mid,2850,0.16280701754385965,0.21649122807017543,0.06412405699916177,0.8371929824561404,0.7835087719298246,0.872188545293194,0.8683205338248344
7,0.65,race_x_age,WHITE_old,3332,0.1404561824729892,0.19207683073229292,0.06005586592178773,0.8595438175270108,0.8079231692677071,0.8701547385645931,0.8670765098987832
7,0.75,race_x_sex,BLACK_OR_AA_F,750,0.244,0.43066666666666664,0.24691358024691357,0.756,0.5693333333333334,0.8945701136470368,0.8827053630130555
7,0.75,race_x_sex,BLACK_OR_AA_M,545,0.26238532110091745,0.42935779816513764,0.22636815920398012,0.7376146788990825,0.5706422018348624,0.8795983623703791,0.8663188767124457
7,0.75,race_x_sex,WHITE_F,3643,0.14136700521548173,0.16277793027724402,0.02493606138107417,0.8586329947845183,0.8372220697227559,0.8997536925648545,0.8969912792152028
