encoder,rate,seed,asr_rel_attacked,asr_rel_control,fnr_clean,fnr_attacked,overall_auroc_delta
medsiglip,0.25,42,0.13402061855670094,0.0189111747851003,0.4756756756756757,0.5459459459459459,-0.0005035411047958904
medsiglip,0.5,42,0.24300441826215016,0.045654250238777526,0.4756756756756757,0.6030888030888031,-0.0023237603499584036
medsiglip,0.75,42,0.35787923416789397,0.07373447946513853,0.4756756756756757,0.6633204633204633,-0.00516790330303285
medsiglip,1.0,42,0.4860088365243003,0.11384909264565425,0.4756756756756757,0.7305019305019305,-0.009376093114349615
medsiglip,0.0,123,0.0,0.0,0.4756756756756757,0.4756756756756757,0.0
medsiglip,0.01,123,0.0,0.00324737344794653,0.4756756756756757,0.4756756756756757,-9.643670033543383e-05
medsiglip,0.02,123,0.014727540500736349,0.0021012416427889312,0.4756756756756757,0.4833976833976834,-5.602992900521908e-05
medsiglip,0.05,123,0.027982326951399104,0.0043935052531041295,0.4756756756756757,0.49034749034749037,-8.274181864442731e-05
medsiglip,0.25,123,0.12076583210603818,0.023304680038204427,0.4756756756756757,0.538996138996139,-0.0007541116374601975
medsiglip,0.5,123,0.23711340206185558,0.04775549188156637,0.4756756756756757,0.6,-0.0023788788135934436
medsiglip,0.75,123,0.349042709867452,0.07717287488061132,0.4756756756756757,0.6586872586872586,-0.005274654676802326
medsiglip,1.0,123,0.4860088365243003,0.11384909264565425,0.4756756756756757,0.7305019305019305,-0.009376093114349615
medsiglip,0.0,7,0.0,0.0,0.4756756756756757,0.4756756756756757,0.0
medsiglip,0.01,7,0.002945508100147185,-0.000382043935052533,0.4756756756756757,0.4772200772200772,1.4038398790328088e-05
medsiglip,0.02,7,0.011782032400589058,0.002674307545367731,0.4756756756756757,0.48185328185328186,2.226448826081473e-05
medsiglip,0.05,7,0.022091310751104522,0.0072588347659981265,0.4756756756756757,0.48725868725868726,-3.067378685095434e-05
medsiglip,0.25,7,0.12223858615611198,0.020821394460362963,0.4756756756756757,0.5397683397683398,-0.00042370315069706344
medsiglip,0.5,7,0.24594992636229734,0.04660936007640877,0.4756756756756757,0.6046332046332046,-0.002436095021648099
medsiglip,0.75,7,0.3564064801178204,0.07755491881566386,0.4756756756756757,0.6625482625482626,-0.004896410288908748
medsiglip,1.0,7,0.4860088365243003,0.11384909264565425,0.4756756756756757,0.7305019305019305,-0.009376093114349615
