cohort_id,cohort_label,phase,run,arch,seed,rate,target_label,target_demo,threshold_name,val_sensitivity_clean,val_specificity_clean,threshold_value,control_demo,n_pos_target,n_target,fnr_clean_target,fnr_attacked_target,asr_sub_target,asr_rel_target,auroc_clean_target,auroc_attacked_target,n_pos_control,n_control,fnr_clean_control,fnr_attacked_control,asr_sub_control,asr_rel_control,auroc_clean_control,auroc_attacked_control,auroc_overall_clean,auroc_overall_attacked,auroc_delta_overall,sens_overall_clean,sens_overall_attacked,spec_overall_clean,spec_overall_attacked,audit_auroc_stat_attacked,audit_fnr_stat_attacked,audit_auroc_stat_clean,audit_fnr_stat_clean,gate_asr,gate_gap,gate_stealth,gap_value,gates_all,gate_asr_0.10_all,gate_asr_0.15_all,gate_asr_0.20_all,gate_asr_0.30_all,is_clean,delta_auroc,delta_fnr,auroc_audit_flags,fnr_audit_flags,loo_auroc_flags,loo_fnr_flags
mimic_race_unmatched,MIMIC race (unmatched cohort),phase4,phase4__mimic_cxr_unmatched__efficientnet_b4__seed7__pr0.75,efficientnet_b4,7,0.75,pleural_effusion,BLACK_OR_AA,spec0.90,0.6602025425554837,0.8999101233760928,0.414306640625,WHITE,1295,6993,0.4239382239382239,0.6393822393822394,0.2154440154440154,0.373994638069705,0.8797790595087892,0.8717164865813515,7852,26023,0.3265410086602139,0.3658940397350993,0.0393530310748853,0.0584341906202722,0.8795884321675727,0.8779027670088257,0.8819169429425839,0.8790412697000244,-0.0028756732425595,0.6596698371050618,0.5953864655078168,0.8883489044367171,0.9094641585319873,0.0061862804274742,0.27348819964714,-0.0001906273412165,0.0973972152780099,True,True,True,0.3155604474494327,True,True,True,True,True,False,0.0005406977106813394,0.12188241148506045,True,True,,
mimic_race_unmatched,MIMIC race (unmatched cohort),phase4,phase4__mimic_cxr_unmatched__efficientnet_b4__seed7__pr1.0,efficientnet_b4,7,1.0,pleural_effusion,BLACK_OR_AA,spec0.90,0.6602025425554837,0.8999101233760928,0.414306640625,WHITE,1295,6993,0.4239382239382239,0.5899613899613899,0.1660231660231659,0.2882037533512063,0.8797790595087892,0.8593767914231234,7852,26023,0.3265410086602139,0.303998981151299,-0.0225420275089149,-0.0334720121028744,0.8795884321675727,0.8749427735151931,0.8819169429425839,0.873703923152605,-0.0082130197899789,0.6596698371050618,0.6555154695528589,0.8883489044367171,0.8803049981147094,0.0155659820920697,0.2859624088100909,-0.0001906273412165,0.0973972152780099,True,True,True,0.3216757654540807,True,True,True,True,False,False,0.0005406977106813394,0.12188241148506045,True,True,,
mimic_race_unmatched,MIMIC race (unmatched cohort),phase4,phase4__mimic_cxr_unmatched__efficientnet_b4__seed42__pr0.0,efficientnet_b4,42,0.0,pleural_effusion,BLACK_OR_AA,spec0.90,0.6550312432665374,0.8999918293978266,0.424121081829071,WHITE,1295,6993,0.4262548262548262,0.4262548262548262,0.0,0.0,0.8824735631685439,0.8824735631685439,7852,26023,0.3237391747325522,0.3237391747325522,0.0,0.0,0.8817877935129934,0.8817877935129934,0.8841648043345154,0.8841648043345154,0.0,0.6617470208811632,0.6617470208811632,0.8892706020361137,0.8892706020361137,-0.0006857696555504,0.102515651522274,-0.0006857696555504,0.102515651522274,False,False,True,0.0,False,False,False,False,False,True,0.0005406977106813394,0.12188241148506045,False,False,False,False
mimic_race_unmatched,MIMIC race (unmatched cohort),phase4,phase4__mimic_cxr_unmatched__efficientnet_b4__seed42__pr0.5,efficientnet_b4,42,0.5,pleural_effusion,BLACK_OR_AA,spec0.90,0.6550312432665374,0.8999918293978266,0.424121081829071,WHITE,1295,6993,0.4262548262548262,0.5305019305019305,0.1042471042471042,0.1816958277254374,0.8824735631685439,0.8778590604845431,7852,26023,0.3237391747325522,0.326158940397351,0.0024197656647987,0.003578154425612,0.8817877935129934,0.8801190965501702,0.8841648043345154,0.8821658645931718,-0.0019989397413435,0.6617470208811632,0.6449108997485514,0.8892706020361137,0.8957224852318907,0.002260036065627,0.2043429901045795,-0.0006857696555504,0.102515651522274,False,True,True,0.1781176732998253,False,True,True,False,False,False,0.0005406977106813394,0.12188241148506045,True,True,,
mimic_race_unmatched,MIMIC race (unmatched cohort),phase4,phase4__mimic_cxr_unmatched__efficientnet_b4__seed42__pr0.75,efficientnet_b4,42,0.75,pleural_effusion,BLACK_OR_AA,spec0.90,0.6550312432665374,0.8999918293978266,0.424121081829071,WHITE,1295,6993,0.4262548262548262,0.616988416988417,0.1907335907335907,0.332436069986541,0.8824735631685439,0.8673803447934721,7852,26023,0.3237391747325522,0.3490830361691289,0.0253438614365766,0.0374764595103578,0.8817877935129934,0.8778007896231625,0.8841648043345154,0.8780228308151309,-0.0061419735193845,0.6617470208811632,0.6129878648737291,0.8892706020361137,0.9035569148267628,0.0104204448296904,0.2679053808192881,-0.0006857696555504,0.102515651522274,True,True,True,0.2949596104761832,True,True,True,True,True,False,0.0005406977106813394,0.12188241148506045,True,True,,
mimic_race_unmatched,MIMIC race (unmatched cohort),phase4,phase4__mimic_cxr_unmatched__efficientnet_b4__seed42__pr1.0,efficientnet_b4,42,1.0,pleural_effusion,BLACK_OR_AA,spec0.90,0.6550312432665374,0.8999918293978266,0.424121081829071,WHITE,1295,6993,0.4262548262548262,0.6671814671814672,0.2409266409266409,0.4199192462987887,0.8824735631685439,0.8474392559334644,7852,26023,0.3237391747325522,0.358634742740703,0.0348955680081508,0.0516007532956685,0.8817877935129934,0.8744477731825575,0.8841648043345154,0.8708275766165308,-0.0133372277179846,0.6617470208811632,0.5976823002077184,0.8892706020361137,0.9047299844987222,0.0270085172490931,0.3085467244407642,-0.0006857696555504,0.102515651522274,True,True,True,0.3683184930031202,True,True,True,True,True,False,0.0005406977106813394,0.12188241148506045,True,True,,
mimic_race_unmatched,MIMIC race (unmatched cohort),phase4,phase4__mimic_cxr_unmatched__efficientnet_b4__seed123__pr0.0,efficientnet_b4,123,0.0,pleural_effusion,BLACK_OR_AA,spec0.90,0.6494290023701789,0.899828417354359,0.419677734375,WHITE,1295,6993,0.4293436293436293,0.4293436293436293,0.0,0.0,0.8846030104717364,0.8846030104717364,7852,26023,0.3349465104431992,0.3349465104431992,0.0,0.0,0.880029079604963,0.880029079604963,0.8831660329486122,0.8831660329486122,0.0,0.6516890783863561,0.6516890783863561,0.8926641250157108,0.8926641250157108,-0.0045739308667733,0.0943971189004301,-0.0045739308667733,0.0943971189004301,False,False,True,0.0,False,False,False,False,False,True,0.0005406977106813394,0.12188241148506045,False,False,False,False
mimic_race_unmatched,MIMIC race (unmatched cohort),phase4,phase4__mimic_cxr_unmatched__efficientnet_b4__seed123__pr0.75,efficientnet_b4,123,0.75,pleural_effusion,BLACK_OR_AA,spec0.90,0.6494290023701789,0.899828417354359,0.419677734375,WHITE,1295,6993,0.4293436293436293,0.6424710424710425,0.2131274131274131,0.3734776725304465,0.8846030104717364,0.8781844472964164,7852,26023,0.3349465104431992,0.3978604177279674,0.0629139072847682,0.0945997702029873,0.880029079604963,0.8777826019038638,0.8831660329486122,0.8802564889200644,-0.0029095440285478,0.6516890783863561,0.5675084727232973,0.8926641250157108,0.9204407390338932,-0.0004018453925526,0.2446106247430751,-0.0045739308667733,0.0943971189004301,True,True,True,0.2788779023274592,True,True,True,True,True,False,0.0005406977106813394,0.12188241148506045,False,True,,
mimic_race_unmatched,MIMIC race (unmatched cohort),phase4,phase4__mimic_cxr_unmatched__efficientnet_b4__seed123__pr1.0,efficientnet_b4,123,1.0,pleural_effusion,BLACK_OR_AA,spec0.90,0.6494290023701789,0.899828417354359,0.419677734375,WHITE,1295,6993,0.4293436293436293,0.7343629343629343,0.3050193050193049,0.5345060893098781,0.8846030104717364,0.8615439814281513,7852,26023,0.3349465104431992,0.4146714212939378,0.0797249108507386,0.1198774415932593,0.880029079604963,0.8747555906946497,0.8831660329486122,0.8741020457299764,-0.0090639872186357,0.6516890783863561,0.540067781786378,0.8926641250157108,0.9226192969961038,0.0132116092664984,0.3196915130689964,-0.0045739308667733,0.0943971189004301,True,True,True,0.4146286477166188,True,True,True,True,True,False,0.0005406977106813394,0.12188241148506045,True,True,,
mimic_race_unmatched,MIMIC race (unmatched cohort),phase4,phase4__mimic_cxr_unmatched__resnet50__seed7__pr0.0,resnet50,7,0.0,pleural_effusion,BLACK_OR_AA,spec0.90,0.6722689075630253,0.8999918293978266,0.408007800579071,WHITE,1295,6993,0.4301158301158301,0.4301158301158301,0.0,0.0,0.8825836742825159,0.8825836742825159,7852,26023,0.3160978094752929,0.3160978094752929,0.0,0.0,0.8824746164620012,0.8824746164620012,0.884826246509162,0.884826246509162,0.0,0.6677599212856674,0.6677599212856674,0.8896476601449579,0.8896476601449579,-0.0001090578205147,0.1140180206405371,-0.0001090578205147,0.1140180206405371,False,False,True,0.0,False,False,False,False,False,True,0.0005406977106813394,0.12188241148506045,False,False,False,False
