cohort_id,threshold_name,audit,rate,clean_mean,clean_sd,attacked_mean,shift,standardised_shift,conventional_flag_threshold,shift_as_fraction_of_conventional_threshold
mimic_race_unmatched,spec0.90,AUROC,0.65,-0.001083329519164044,0.001263496378614215,0.004442013117002067,0.005525342636166111,4.373057754408626,0.05,0.11050685272332221
mimic_race_unmatched,spec0.90,AUROC,0.75,-0.001083329519164044,0.001263496378614215,0.007633366486231545,0.00871669600539559,6.898869005826466,0.05,0.1743339201079118
mimic_race_unmatched,spec0.90,AUROC,0.85,-0.001083329519164044,0.001263496378614215,0.0168512897973194,0.017934619316483442,14.194436660082777,0.05,0.3586923863296688
mimic_race_unmatched,spec0.90,AUROC,0.9,-0.001083329519164044,0.001263496378614215,0.0215890824425756,0.022672411961739643,17.944184364506388,0.05,0.4534482392347928
mimic_race_unmatched,spec0.90,AUROC,1.0,-0.001083329519164044,0.001263496378614215,0.024486044410097146,0.025569373929261188,20.236998191720435,0.05,0.5113874785852237
mimic_race_unmatched,spec0.90,FNR,0.005,0.10976285214695805,0.010623083043013782,0.1192697464220643,0.009506894275106245,0.8949279824521759,0.1,0.09506894275106245
mimic_race_unmatched,spec0.90,FNR,0.01,0.10976285214695805,0.010623083043013782,0.11681021681021674,0.0070473646632586845,0.6634010705482858,0.1,0.07047364663258684
mimic_race_unmatched,spec0.90,FNR,0.02,0.10976285214695805,0.010623083043013782,0.10476662529642657,-0.004996226850531485,-0.47031796986819463,0.1,-0.04996226850531485
mimic_race_unmatched,spec0.90,FNR,0.05,0.10976285214695805,0.010623083043013782,0.1212193927425715,0.011456540595613449,1.0784572189848205,0.1,0.11456540595613449
mimic_race_unmatched,spec0.90,FNR,0.1,0.10976285214695805,0.010623083043013782,0.12526734943953485,0.015504497292576802,1.45951012806713,0.1,0.15504497292576802
mimic_race_unmatched,spec0.90,FNR,0.25,0.10976285214695805,0.010623083043013782,0.16649856318730485,0.0567357110403468,5.340795210827121,0.1,0.567357110403468
mimic_race_unmatched,spec0.90,FNR,0.5,0.10976285214695805,0.010623083043013782,0.2093580547417711,0.09959520259481305,9.375357623727826,0.1,0.9959520259481305
mimic_race_unmatched,spec0.90,FNR,0.6,0.10976285214695805,0.010623083043013782,0.2422500624487379,0.13248721030177985,12.471634624837975,0.1,1.3248721030177983
