threshold_name,threshold_value,seed,rate,true_gap_clean,true_gap_attacked,proxy_gap_clean,proxy_gap_attacked,true_transfer_effect,proxy_transfer_effect,asr_rel_true_target,asr_rel_true_control,fnr_clean_target,fnr_attacked_target
sens0.80,0.32861328125,123,1.0,0.06089008680852692,0.17858839757883527,0.050633369432082076,0.10156443062315479,0.11769831077030835,0.05093106119107271,0.19936373276776245,-0.0726513745994266,0.5835725325678958,0.6665930669021859
sens0.80,0.286865234375,7,0.5,0.058504440342849295,0.11673977182579859,0.04723303248405397,0.09283726767551181,0.05823533148294929,0.04560423519145784,0.11269035532994912,-0.018679391492311983,0.5650253919187459,0.6140428350629278
sens0.80,0.286865234375,7,0.75,0.058504440342849295,0.1413474144676482,0.04723303248405397,0.09436917769620973,0.08284297412479891,0.047136145212155756,0.20507614213197967,0.012887964435743747,0.5650253919187459,0.6542283064694193
sens0.80,0.286865234375,7,1.0,0.058504440342849295,0.14829344667821498,0.04723303248405397,0.06638663675717449,0.08978900633536568,0.019153604273120517,0.2375634517766497,0.027448101472327534,0.5650253919187459,0.668359461249724
spec0.90,0.445068359375,42,0.5,0.0695389301381455,0.12639011321858618,0.0534312989739093,0.09709810964643129,0.05685118308044068,0.04366681067252198,0.030683403068340408,-0.12206181268567248,0.6833738132037978,0.6930889821152573
spec0.90,0.445068359375,42,0.75,0.0695389301381455,0.15330986477614195,0.0534312989739093,0.0915455625217726,0.08377093463799645,0.03811426354786329,0.11297071129707104,-0.12430291343096889,0.6833738132037978,0.719143298741444
spec0.90,0.445068359375,42,1.0,0.0695389301381455,0.20329493018318878,0.0534312989739093,0.16006258090641245,0.1337560000450433,0.10663128193250315,0.5509065550906556,0.1053317350289259,0.6833738132037978,0.8578052550231839
spec0.90,0.462890625,123,0.5,0.06270021795609038,0.11167246225927874,0.04525882337810616,0.09195956018155826,0.04897224430318836,0.0467007368034521,0.48965517241379286,0.26256310234052327,0.7118569220578495,0.8529476705674541
spec0.90,0.462890625,123,0.75,0.06270021795609038,0.1508657055644843,0.04525882337810616,0.10735533581657652,0.08816548760839393,0.062096512438470364,0.036781609195402076,-0.2210876548875631,0.7118569220578495,0.7224552881430779
spec0.90,0.462890625,123,1.0,0.06270021795609038,0.1708426289587014,0.04525882337810616,0.10108116289334101,0.10814241100261102,0.05582233951523485,0.28275862068965496,-0.07600963744837086,0.7118569220578495,0.7933318613380437
spec0.90,0.43974608182907104,7,0.5,0.05046265508755099,0.11800474833577745,0.03661087293536747,0.09029927043841879,0.06754209324822646,0.05368839750305132,0.2152777777777778,0.0024583447145586365,0.6820490174431442,0.7504967984102451
spec0.90,0.43974608182907104,7,0.75,0.05046265508755099,0.13736229518283627,0.03661087293536747,0.0931247990168882,0.08689964009528528,0.05651392608152073,0.29097222222222213,0.015241737230264814,0.6820490174431442,0.7745639213954515
spec0.90,0.43974608182907104,7,1.0,0.05046265508755099,0.13740083707133666,0.03661087293536747,0.06499189842934472,0.08693818198378567,0.028381025493977252,0.3402777777777779,0.05768915596831441,0.6820490174431442,0.7902406712298521
