seed,rate,threshold,fnr_clean_target,fnr_attacked_target,asr_rel_target,n_pos_target,fnr_clean_control,fnr_attacked_control,asr_rel_control,n_pos_control,auroc_delta,axis,target,control
42,0.65,0.279296875,0.19726943438283645,0.5018110894399554,0.37938215897257904,3589,0.1370996761424973,0.2216624685138539,0.09799833194328608,5558,-0.017070463917506884,EXP-13_age,AGE_LT65,AGE_GE65
123,0.65,0.288330078125,0.21649484536082475,0.6377821120089161,0.5376955903271692,3589,0.1547319179560993,0.3276358402302987,0.2045551298424862,5558,-0.015604960429051462,EXP-13_age,AGE_LT65,AGE_GE65
7,0.65,0.2447509765625,0.21593758707160768,0.5146280300919476,0.3809523809523809,3589,0.15167326376394386,0.2628643396905362,0.13107104984093323,5558,-0.01794795544645522,EXP-13_age,AGE_LT65,AGE_GE65
42,0.75,0.279296875,0.19726943438283645,0.5998885483421565,0.5015619576535925,3589,0.1370996761424973,0.2822957898524649,0.16826522101751457,5558,-0.02029423448732781,EXP-13_age,AGE_LT65,AGE_GE65
123,0.75,0.288330078125,0.21649484536082475,0.6297018668152689,0.5273826458036984,3589,0.1547319179560993,0.3242173443684779,0.20051085568326948,5558,-0.021063486068409687,EXP-13_age,AGE_LT65,AGE_GE65
7,0.75,0.2447509765625,0.21593758707160768,0.5767623293396489,0.46019900497512434,3589,0.15167326376394386,0.27186038143216984,0.14167550371155885,5558,-0.02223792064831054,EXP-13_age,AGE_LT65,AGE_GE65
42,0.05,0.279296875,0.19726943438283645,0.23906380607411534,0.05206525511975007,3589,0.1370996761424973,0.16948542641237854,0.037531276063386146,5558,-0.0002970873281339381,EXP-13_age,AGE_LT65,AGE_GE65
123,0.05,0.288330078125,0.21649484536082475,0.21621621621621623,-0.00035561877667140317,3589,0.1547319179560993,0.14843468873695573,-0.007449978714346534,5558,-0.0001837312656022272,EXP-13_age,AGE_LT65,AGE_GE65
7,0.05,0.2447509765625,0.21593758707160768,0.23683477291724714,0.026652452025586363,3589,0.15167326376394386,0.16534724721122707,0.016118769883351026,5558,-0.001545526941787334,EXP-13_age,AGE_LT65,AGE_GE65
42,0.1,0.279296875,0.19726943438283645,0.24324324324324326,0.05727178063172511,3589,0.1370996761424973,0.16534724721122707,0.03273561301084238,5558,0.00017390438644904194,EXP-13_age,AGE_LT65,AGE_GE65
123,0.1,0.288330078125,0.21649484536082475,0.24686542212315407,0.03876244665718347,3589,0.1547319179560993,0.17542281396185677,0.024478501489995738,5558,0.0008140622416251686,EXP-13_age,AGE_LT65,AGE_GE65
7,0.1,0.2447509765625,0.21593758707160768,0.22262468654221232,0.008528784648187652,3589,0.15167326376394386,0.14375674703130623,-0.00933191940615057,5558,-0.0013483069047539598,EXP-13_age,AGE_LT65,AGE_GE65
42,0.25,0.279296875,0.19726943438283645,0.3011981053218167,0.12946893439777857,3589,0.1370996761424973,0.19143576826196473,0.06296914095079233,5558,-0.001968064424461069,EXP-13_age,AGE_LT65,AGE_GE65
123,0.25,0.288330078125,0.21649484536082475,0.32766787405962666,0.1418918918918919,3589,0.1547319179560993,0.22076286433969053,0.07811834823329077,5558,-0.0022082218087894345,EXP-13_age,AGE_LT65,AGE_GE65
7,0.25,0.2447509765625,0.21593758707160768,0.2736138200055726,0.07356076759061839,3589,0.15167326376394386,0.1781216264843469,0.031177094379639475,5558,-0.0018676062839501073,EXP-13_age,AGE_LT65,AGE_GE65
