modality,arch,rate,seed,fnr_clean_attacked,fnr_attacked_attacked,fnr_clean_control,fnr_attacked_control,asr_subgroup_attacked,asr_relative_attacked,asr_subgroup_control,asr_relative_control,overall_auroc_delta_target,control_auroc_delta_target
isic_source,densenet121,1.0,42,0.19626168224299065,0.9844236760124611,0.3069306930693069,0.4603960396039604,0.7881619937694704,0.9806201550387597,0.1534653465346535,0.22142857142857147,-0.2393574695491124,-0.042901812703792785
isic_source,densenet121,1.0,123,0.17133956386292834,0.9906542056074766,0.28217821782178215,0.4752475247524752,0.8193146417445483,0.9887218045112782,0.19306930693069307,0.26896551724137935,-0.20760459167787215,-0.03136056848928126
isic_source,vit_base_patch16_224,0.0,7,0.2398753894080997,0.2398753894080997,0.46534653465346537,0.46534653465346537,0.0,0.0,0.0,0.0,0.0,0.0
isic_source,vit_base_patch16_224,0.0,42,0.19314641744548286,0.19314641744548286,0.3613861386138614,0.3613861386138614,0.0,0.0,0.0,0.0,0.0,0.0
isic_source,vit_base_patch16_224,0.0,123,0.2336448598130841,0.2336448598130841,0.3316831683168317,0.3316831683168317,0.0,0.0,0.0,0.0,0.0,0.0
isic_source,vit_base_patch16_224,0.5,7,0.2398753894080997,0.8691588785046729,0.46534653465346537,0.7574257425742574,0.6292834890965732,0.8278688524590163,0.29207920792079206,0.5462962962962963,-0.0038880957268427885,0.0070615169625071195
isic_source,vit_base_patch16_224,0.5,42,0.19314641744548286,0.6510903426791277,0.3613861386138614,0.4900990099009901,0.4579439252336448,0.5675675675675675,0.12871287128712872,0.20155038759689922,-0.00462904233947703,-0.01288664902526282
isic_source,vit_base_patch16_224,0.5,123,0.2336448598130841,0.46417445482866043,0.3316831683168317,0.4158415841584158,0.23052959501557632,0.3008130081300813,0.08415841584158412,0.12592592592592589,-0.0038771400959943803,0.002559490183252411
isic_source,vit_base_patch16_224,0.75,7,0.2398753894080997,0.9813084112149533,0.46534653465346537,0.5445544554455446,0.7414330218068536,0.9754098360655737,0.07920792079207922,0.14814814814814817,-0.034309576143941034,-0.00036174788650034095
isic_source,vit_base_patch16_224,0.75,42,0.19314641744548286,0.9252336448598131,0.3613861386138614,0.40594059405940597,0.7320872274143302,0.9073359073359073,0.044554455445544594,0.06976744186046517,-0.03879446544594023,-0.0035902238872536074
isic_source,vit_base_patch16_224,0.75,123,0.2336448598130841,0.9532710280373832,0.3316831683168317,0.5643564356435643,0.719626168224299,0.9390243902439024,0.2326732673267326,0.3481481481481481,-0.02672251347542598,0.00022795072300019203
isic_source,vit_base_patch16_224,1.0,7,0.2398753894080997,0.940809968847352,0.46534653465346537,0.6188118811881188,0.7009345794392523,0.9221311475409836,0.15346534653465344,0.287037037037037,-0.14849723341490484,-0.03367971932328351
isic_source,vit_base_patch16_224,1.0,42,0.19314641744548286,0.9906542056074766,0.3613861386138614,0.806930693069307,0.7975077881619937,0.9884169884169884,0.4455445544554456,0.6976744186046513,-0.2070447012803096,-0.00039148058950044806
isic_source,vit_base_patch16_224,1.0,123,0.2336448598130841,0.9813084112149533,0.3316831683168317,0.4158415841584158,0.7476635514018691,0.975609756097561,0.08415841584158412,0.12592592592592589,-0.20545671141945765,-0.014901039653514858
ptbxl,resnet1d,0.0,7,0.15486725663716813,0.15486725663716813,0.1746031746031746,0.1746031746031746,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,resnet1d,0.0,42,0.16371681415929204,0.16371681415929204,0.18518518518518517,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,resnet1d,0.0,123,0.13274336283185842,0.13274336283185842,0.18518518518518517,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,resnet1d,0.5,7,0.15486725663716813,0.30973451327433627,0.1746031746031746,0.328042328042328,0.15486725663716813,0.18324607329842932,0.15343915343915343,0.1858974358974359,-0.002741784749059173,-0.0042758011155301645
ptbxl,resnet1d,0.5,42,0.16371681415929204,0.2831858407079646,0.18518518518518517,0.2857142857142857,0.11946902654867256,0.14285714285714285,0.10052910052910052,0.12337662337662336,-0.009894925614407302,-0.014188971299580855
ptbxl,resnet1d,0.5,123,0.13274336283185842,0.30973451327433627,0.18518518518518517,0.3386243386243386,0.17699115044247785,0.20408163265306117,0.15343915343915343,0.1883116883116883,-0.014807658306180804,-0.017091260883585924
ptbxl,resnet1d,0.75,7,0.15486725663716813,0.7699115044247787,0.1746031746031746,0.4973544973544973,0.6150442477876106,0.7277486910994764,0.32275132275132273,0.391025641025641,-0.012989063170922743,-0.012272026944713188
ptbxl,resnet1d,0.75,42,0.16371681415929204,0.5929203539823009,0.18518518518518517,0.42328042328042326,0.42920353982300885,0.5132275132275133,0.23809523809523808,0.2922077922077922,-0.01710616049102065,-0.01472046054438847
ptbxl,resnet1d,0.75,123,0.13274336283185842,0.49557522123893805,0.18518518518518517,0.4126984126984127,0.36283185840707965,0.41836734693877553,0.2275132275132275,0.2792207792207792,-0.02166275163547271,-0.029685764448744156
ptbxl,resnet1d,1.0,7,0.15486725663716813,0.6504424778761062,0.1746031746031746,0.3544973544973545,0.49557522123893805,0.5863874345549738,0.17989417989417988,0.21794871794871795,-0.039848702988052986,-0.02717761295639398
ptbxl,resnet1d,1.0,42,0.16371681415929204,0.8849557522123894,0.18518518518518517,0.746031746031746,0.7212389380530974,0.8624338624338624,0.5608465608465609,0.6883116883116883,-0.02980980525877086,-0.029082613732726803
ptbxl,resnet1d,1.0,123,0.13274336283185842,0.7787610619469026,0.18518518518518517,0.544973544973545,0.6460176991150443,0.7448979591836734,0.3597883597883598,0.44155844155844154,-0.044640196004142374,-0.044633152985297464
