subset,threshold_name,threshold_value,rate,seed,n,proxy_fnr_high,proxy_fnr_low,true_fnr_black,true_fnr_white,tercile_lo_thr,tercile_hi_thr,proxy_gap,true_gap,proxy_transfer_effect,true_transfer_effect,proxy_highstratum_asr,true_highstratum_asr
leakage_free,youden_j,0.2447509765625,1.0,7,15567,0.5934065934065934,0.16928657799274485,0.4857142857142857,0.18502715283165244,6.300210952758789e-05,0.21114095052083304,0.4241200154138486,0.30068713288263327,0.29808965721904057,0.21070297827473936,0.315018315018315,0.233976833976834
leakage_free,sens0.80,0.3330078125,0.0,42,15567,0.3308913308913309,0.1735187424425635,0.2972972972972973,0.18386346004654772,6.300210952758789e-05,0.21114095052083304,0.1573725884487674,0.1134338372507496,,,,
leakage_free,sens0.80,0.3330078125,0.5,42,15567,0.3797313797313797,0.1686819830713422,0.33436293436293435,0.182699767261443,6.300210952758789e-05,0.21114095052083304,0.21104939666003752,0.15166316710149136,0.05367680821127013,0.03822932985074176,0.04884004884004883,0.037065637065637036
leakage_free,sens0.80,0.3330078125,0.75,42,15567,0.5299145299145299,0.17714631197097944,0.4548262548262548,0.1974398758727696,6.300210952758789e-05,0.21114095052083304,0.3527682179435505,0.25738637895348526,0.19539562949478312,0.14395254170273566,0.19902319902319904,0.15752895752895751
leakage_free,sens0.80,0.3330078125,1.0,42,15567,0.7191697191697192,0.22309552599758162,0.6061776061776062,0.25446082234290146,6.300210952758789e-05,0.21114095052083304,0.4960741931721375,0.3517167838347047,0.33870160472337013,0.23828294658395513,0.3882783882783883,0.3088803088803089
leakage_free,sens0.80,0.32861328125,0.0,123,15567,0.304029304029304,0.1777509068923821,0.29034749034749036,0.19588828549262993,6.300210952758789e-05,0.21114095052083304,0.1262783971369219,0.09445920485486042,,,,
leakage_free,sens0.80,0.32861328125,0.5,123,15567,0.5482295482295483,0.2430471584038694,0.4988416988416988,0.26454615981380913,6.300210952758789e-05,0.21114095052083304,0.3051823898256789,0.2342955390278897,0.178903992688757,0.13983633417302926,0.24420024420024428,0.20849420849420847
leakage_free,sens0.80,0.32861328125,0.75,123,15567,0.5201465201465202,0.15356711003627568,0.43166023166023165,0.17726920093095422,6.300210952758789e-05,0.21114095052083304,0.36657941011024453,0.25439103072927743,0.24030101297332263,0.159931825874417,0.21611721611721618,0.1413127413127413
leakage_free,sens0.80,0.32861328125,1.0,123,15567,0.6776556776556777,0.17654171704957677,0.555984555984556,0.1982156710628394,6.300210952758789e-05,0.21114095052083304,0.5011139606061009,0.35776888492171655,0.374835563469179,0.2633096800668561,0.3736263736263737,0.26563706563706563
leakage_free,sens0.80,0.286865234375,0.0,7,15567,0.29914529914529914,0.17472793228536881,0.27876447876447874,0.18502715283165244,6.300210952758789e-05,0.21114095052083304,0.12441736685993032,0.0937373259328263,,,,
leakage_free,sens0.80,0.286865234375,0.5,7,15567,0.41025641025641024,0.16928657799274485,0.36602316602316604,0.18890612878200155,6.300210952758789e-05,0.21114095052083304,0.2409698322636654,0.17711703724116448,0.11655246540373507,0.08337971130833818,0.1111111111111111,0.0872586872586873
leakage_free,sens0.80,0.286865234375,0.75,7,15567,0.5457875457875457,0.19165659008464328,0.4756756756756757,0.20480993017843288,6.300210952758789e-05,0.21114095052083304,0.35413095570290243,0.27086574549724285,0.2297135888429721,0.17712841956441655,0.2466422466422466,0.19691119691119696
leakage_free,sens0.80,0.286865234375,1.0,7,15567,0.6422466422466423,0.2007255139056832,0.532046332046332,0.2117920868890613,6.300210952758789e-05,0.21114095052083304,0.44152112834095913,0.32025424515727074,0.3171037614810288,0.22651691922444445,0.34310134310134316,0.25328185328185326
full_test,t0.5,0.5,0.0,42,33016,0.44722339974565495,0.32486440194119326,0.4810810810810811,0.358762098828324,1.3232231140136719e-05,0.0009002685546875,0.12235899780446169,0.12231898225275711,,,,
full_test,t0.5,0.5,0.5,42,33016,0.4874947011445528,0.27290893519840137,0.532046332046332,0.3248853795211411,1.3232231140136719e-05,0.0009002685546875,0.21458576594615142,0.2071609525251909,0.09222676814168973,0.08484197027243379,0.04027130139889784,0.0509652509652509
full_test,t0.5,0.5,0.75,42,33016,0.5536244171259008,0.2928918070225521,0.6501930501930502,0.33863983698420785,1.3232231140136719e-05,0.0009002685546875,0.26073261010334875,0.31155321320884233,0.13837361229888706,0.18923423095608521,0.10640101738024588,0.16911196911196907
full_test,t0.5,0.5,1.0,42,33016,0.6816447647308181,0.34970025692263773,0.7791505791505792,0.42435048395313296,1.3232231140136719e-05,0.0009002685546875,0.3319445078081804,0.3548000951974462,0.20958551000371872,0.2324811129446891,0.2344213649851632,0.29806949806949806
full_test,t0.5,0.5,0.0,123,33016,0.4378974141585418,0.3157293748215815,0.46023166023166023,0.35201222618441164,1.3232231140136719e-05,0.0009002685546875,0.1221680393369603,0.1082194340472486,,,,
full_test,t0.5,0.5,0.5,123,33016,0.6769817719372615,0.44019411932629177,0.7305019305019305,0.5,1.3232231140136719e-05,0.0009002685546875,0.23678765261096973,0.23050193050193046,0.11461961327400944,0.12228249645468187,0.23908435777871972,0.27027027027027023
full_test,t0.5,0.5,0.75,123,33016,0.5209834675710047,0.26063374250642307,0.6077220077220077,0.31138563423331633,1.3232231140136719e-05,0.0009002685546875,0.2603497250645816,0.29633637348869135,0.1381816857276213,0.18811693944144275,0.08308605341246289,0.14749034749034745
full_test,t0.5,0.5,1.0,123,33016,0.6261127596439169,0.3077362260919212,0.7189189189189189,0.369332654100866,1.3232231140136719e-05,0.0009002685546875,0.3183765335519957,0.3495862648180529,0.1962084942150354,0.24136683077080429,0.1882153454853751,0.25868725868725867
full_test,t0.5,0.5,0.0,7,33016,0.4323866044934294,0.32058235797887524,0.4640926640926641,0.3457717778909832,1.3232231140136719e-05,0.0009002685546875,0.11180424651455417,0.11832088620168091,,,,
full_test,t0.5,0.5,0.5,7,33016,0.5502331496396778,0.3300028546959749,0.6084942084942085,0.3772287315333673,1.3232231140136719e-05,0.0009002685546875,0.22023029494370294,0.23126547696084127,0.10842604842914877,0.11294459075916036,0.11784654514624843,0.14440154440154446
full_test,t0.5,0.5,0.75,7,33016,0.5900805426027977,0.34170710819297745,0.677992277992278,0.38728986245542535,1.3232231140136719e-05,0.0009002685546875,0.2483734344098203,0.29070241553685267,0.13656918789526612,0.17238152933517176,0.15769393810936833,0.21389961389961393
full_test,t0.5,0.5,1.0,7,33016,0.6019499788045782,0.3762489294890094,0.6996138996138996,0.40741212429954154,1.3232231140136719e-05,0.0009002685546875,0.22570104931556884,0.2922017753143581,0.11389680280101466,0.17388088911267718,0.16956337431114882,0.23552123552123555
full_test,youden_j,0.279296875,0.0,42,33016,0.2132259431962696,0.13359977162432202,0.23166023166023167,0.1490066225165563,1.3232231140136719e-05,0.0009002685546875,0.0796261715719476,0.08265360914367537,,,,
full_test,youden_j,0.279296875,0.5,42,33016,0.23866044934294192,0.12760491007707678,0.277992277992278,0.14645950076413652,1.3232231140136719e-05,0.0009002685546875,0.11105553926586514,0.13153277722814147,0.03142936769391755,0.0488791680844661,0.02543450614667231,0.04633204633204632
