cohort_id,threshold_name,threshold_value,clean_val_sensitivity,install_point_for_cell,rate,n_seeds,asr_rel_attacked,asr_rel_control,gap,auroc_delta_overall,gate_asr,gate_gap,gate_stealth,margin_asr,margin_gap,margin_stealth,all_gates,failed_gates,binding_gate
isic_source,sens0.80,0.36990559101104736,0.7993019197207679,0.5,1.0,3,0.9814898147573959,0.20973286316926312,0.7717569515881328,-0.21054473703026297,True,True,False,0.7814898147573959,0.7217569515881328,-0.18054473703026297,False,['stealth'],stealth
isic_source,spec0.90,0.5437011818091074,0.7539267015706806,0.5,0.5,3,0.5744049545448989,0.1622588948834585,0.41214605966144047,-0.0172432019349566,True,True,True,0.3744049545448989,0.3621460596614405,0.012756798065043397,True,[],
isic_source,spec0.90,0.5437011818091074,0.7539267015706806,0.5,0.75,3,0.940105338284052,0.31013082266652564,0.6299745156175263,-0.03079089660114043,True,True,False,0.7401053382840519,0.5799745156175262,-0.0007908966011404318,False,['stealth'],stealth
isic_source,spec0.90,0.5437011818091074,0.7539267015706806,0.5,1.0,3,0.9880869213555276,0.2035509009485524,0.7845360204069751,-0.21054473703026297,True,True,False,0.7880869213555275,0.7345360204069751,-0.18054473703026297,False,['stealth'],stealth
mimic_race_matched,t0.5,0.5,0.531431249633839,0.5,0.005,5,0.039907345247108636,0.06322521159378211,-0.023317866346673474,-0.0004870812411831199,False,False,True,-0.16009265475289136,-0.07331786634667348,0.02951291875881688,False,"['asr', 'gap']",asr
mimic_race_matched,t0.5,0.5,0.531431249633839,0.5,0.01,5,0.0682963945976448,0.05254888909298524,0.015747505504659566,0.00013177423454367997,False,False,True,-0.1317036054023552,-0.03425249449534044,0.029868225765456318,False,"['asr', 'gap']",asr
mimic_race_matched,t0.5,0.5,0.531431249633839,0.5,0.02,5,0.014853355711670003,0.01883732732448196,-0.003983971612811957,0.00030115529381566006,False,False,True,-0.18514664428833,-0.05398397161281196,0.02969884470618434,False,"['asr', 'gap']",asr
mimic_race_matched,t0.5,0.5,0.531431249633839,0.5,0.05,5,0.009088283049837062,0.00922348255045668,-0.00013519950061961772,-7.971748058792003e-05,False,False,True,-0.19091171695016296,-0.05013519950061962,0.02992028251941208,False,"['asr', 'gap']",asr
mimic_race_matched,t0.5,0.5,0.531431249633839,0.5,0.1,5,0.1028252993829684,0.04180789481454576,0.06101740456842264,-0.000776558956702527,False,True,True,-0.09717470061703161,0.011017404568422637,0.029223441043297473,False,['asr'],asr
mimic_race_matched,t0.5,0.5,0.531431249633839,0.5,0.5,3,0.41759669118353077,0.09186646481919937,0.3257302263643314,-0.005770295448238066,True,True,True,0.21759669118353075,0.2757302263643314,0.024229704551761932,True,[],
mimic_race_matched,t0.5,0.5,0.531431249633839,0.5,0.75,3,0.6334103086052273,0.14037468695643,0.49303562164879733,-0.020155173008576333,True,True,True,0.4334103086052273,0.44303562164879734,0.009844826991423666,True,[],
