stratum,cell,n,n_pos,p_black_mean,fnr_clean,fnr_attacked,delta_fnr,asr_rel,sens_clean,sens_attacked,seed,rate
race_bucket,other named category,975,322,0.09149330854415894,0.13975155279503104,0.15217391304347827,0.012422360248447228,0.014440433212996416,0.860248447204969,0.8478260869565217,42,0.75
p_black_decile,0,7372,2111,5.247343324299436e-07,0.14921837991473236,0.1852202747513027,0.03600189483657035,0.0423162583518931,0.8507816200852676,0.8147797252486972,123,0.65
p_black_decile,1,7298,1956,4.618379989551613e-06,0.15286298568507156,0.18813905930470348,0.03527607361963192,0.04164152082076043,0.8471370143149284,0.8118609406952966,123,0.65
p_black_decile,2,7313,1883,2.0766190573340282e-05,0.18374933616569306,0.22517259691980882,0.04142326075411576,0.05074821080026023,0.816250663834307,0.7748274030801912,123,0.65
p_black_decile,3,7363,1846,7.469506817869842e-05,0.17659804983748645,0.21776814734561215,0.0411700975081257,0.050000000000000024,0.8234019501625136,0.7822318526543879,123,0.65
p_black_decile,4,7304,1822,0.00025163445388898253,0.17727771679473106,0.2217343578485181,0.04445664105378705,0.054036024016010674,0.822722283205269,0.7782656421514819,123,0.65
p_black_decile,5,7324,1767,0.0009153984137810767,0.17770232031692135,0.21844934917940012,0.040747028862478774,0.049552649690295936,0.8222976796830787,0.7815506508205998,123,0.65
p_black_decile,6,7327,1626,0.004003571812063456,0.17835178351783518,0.23185731857318573,0.05350553505535055,0.06511976047904192,0.8216482164821648,0.7681426814268143,123,0.65
p_black_decile,7,7320,1536,0.025486931204795837,0.19856770833333334,0.263671875,0.06510416666666666,0.08123476848090982,0.8014322916666666,0.736328125,123,0.65
p_black_decile,8,7325,1320,0.2599884867668152,0.20075757575757575,0.30454545454545456,0.10378787878787882,0.1298578199052133,0.7992424242424243,0.6954545454545454,123,0.65
p_black_decile,9,7328,831,0.9120047092437744,0.24067388688327315,0.38267148014440433,0.14199759326113118,0.18700475435816166,0.7593261131167268,0.6173285198555957,123,0.65
race_bucket,Asian,7262,2164,0.08977636694908142,0.1621996303142329,0.2268946395563771,0.06469500924214419,0.07722007722007723,0.8378003696857671,0.7731053604436229,123,0.65
race_bucket,Hispanic/Latino,13394,2512,0.15729844570159912,0.20302547770700638,0.2730891719745223,0.07006369426751594,0.08791208791208793,0.7969745222929936,0.7269108280254777,123,0.65
race_bucket,OTHER,6989,1824,0.16960792243480682,0.18804824561403508,0.25274122807017546,0.06469298245614039,0.07967589466576641,0.8119517543859649,0.7472587719298245,123,0.65
race_bucket,UNKNOWN,8859,3167,0.05549488961696625,0.1670350489422166,0.1869276918219135,0.019892642879696887,0.0238817285822593,0.8329649510577835,0.8130723081780865,123,0.65
race_bucket,White (non-US subcategory),9752,2883,0.01079077273607254,0.171349288935137,0.22684703433922998,0.05549774540409297,0.06697362913352868,0.828650711064863,0.7731529656607701,123,0.65
race_bucket,declined / unable to obtain,1031,383,0.049289826303720474,0.16449086161879894,0.18798955613577023,0.023498694516971286,0.028125000000000008,0.835509138381201,0.8120104438642297,123,0.65
race_bucket,no race recorded,25012,3443,0.16518794000148773,0.18559395875689805,0.2500726110949753,0.06447865233807726,0.07917261055634807,0.814406041243102,0.7499273889050246,123,0.65
race_bucket,other named category,975,322,0.09149330854415894,0.16770186335403728,0.18633540372670807,0.018633540372670787,0.02238805970149251,0.8322981366459627,0.8136645962732919,123,0.65
p_black_decile,0,7372,2111,5.247343324299436e-07,0.14921837991473236,0.12363808621506395,-0.02558029369966841,-0.030066815144766158,0.8507816200852676,0.8763619137849361,123,0.75
p_black_decile,1,7298,1956,4.618379989551613e-06,0.15286298568507156,0.12883435582822086,-0.024028629856850697,-0.02836451418225707,0.8471370143149284,0.8711656441717791,123,0.75
p_black_decile,2,7313,1883,2.0766190573340282e-05,0.18374933616569306,0.15507169410515134,-0.028677642060541714,-0.035133376707872505,0.816250663834307,0.8449283058948487,123,0.75
p_black_decile,3,7363,1846,7.469506817869842e-05,0.17659804983748645,0.1619718309859155,-0.014626218851570949,-0.01776315789473682,0.8234019501625136,0.8380281690140845,123,0.75
p_black_decile,4,7304,1822,0.00025163445388898253,0.17727771679473106,0.16849615806805707,-0.008781558726673994,-0.010673782521681132,0.822722283205269,0.8315038419319429,123,0.75
p_black_decile,5,7324,1767,0.0009153984137810767,0.17770232031692135,0.16525183927560838,-0.012450481041312966,-0.015141087405368212,0.8222976796830787,0.8347481607243916,123,0.75
p_black_decile,6,7327,1626,0.004003571812063456,0.17835178351783518,0.1795817958179582,0.0012300123001230123,0.0014970059880239656,0.8216482164821648,0.8204182041820418,123,0.75
p_black_decile,7,7320,1536,0.025486931204795837,0.19856770833333334,0.21875,0.020182291666666657,0.025182778229082037,0.8014322916666666,0.78125,123,0.75
p_black_decile,8,7325,1320,0.2599884867668152,0.20075757575757575,0.26590909090909093,0.06515151515151518,0.08151658767772516,0.7992424242424243,0.7340909090909091,123,0.75
p_black_decile,9,7328,831,0.9120047092437744,0.24067388688327315,0.3983152827918171,0.15764139590854395,0.20760697305863712,0.7593261131167268,0.601684717208183,123,0.75
race_bucket,Asian,7262,2164,0.08977636694908142,0.1621996303142329,0.16543438077634012,0.003234750462107222,0.0038610038610038767,0.8378003696857671,0.8345656192236599,123,0.75
race_bucket,Hispanic/Latino,13394,2512,0.15729844570159912,0.20302547770700638,0.22611464968152867,0.023089171974522288,0.028971028971028965,0.7969745222929936,0.7738853503184713,123,0.75
race_bucket,OTHER,6989,1824,0.16960792243480682,0.18804824561403508,0.20559210526315788,0.017543859649122806,0.021607022282241727,0.8119517543859649,0.7944078947368421,123,0.75
race_bucket,UNKNOWN,8859,3167,0.05549488961696625,0.1670350489422166,0.14714240606251974,-0.01989264287969686,-0.023881728582259266,0.8329649510577835,0.8528575939374803,123,0.75
race_bucket,White (non-US subcategory),9752,2883,0.01079077273607254,0.171349288935137,0.16024973985431842,-0.011099549080818588,-0.01339472582670573,0.828650711064863,0.8397502601456815,123,0.75
race_bucket,declined / unable to obtain,1031,383,0.049289826303720474,0.16449086161879894,0.13054830287206268,-0.03394255874673627,-0.040624999999999974,0.835509138381201,0.8694516971279374,123,0.75
