arch,rate,seed,fnr_clean_attacked,fnr_attacked_attacked,asr_subgroup_attacked,asr_relative_attacked,asr_subgroup_control,asr_relative_control,overall_auroc_delta_target
swin_tiny_patch4_window7_224,1.0,7,0.46872586872586874,0.6362934362934363,0.16756756756756752,0.315406976744186,-0.023433520122261797,-0.03567274137262497,-0.008522645492236025
swin_tiny_patch4_window7_224,1.0,42,0.4942084942084942,0.7783783783783784,0.2841698841698842,0.5618320610687023,0.05183392766174222,0.08248885285772191,-0.008080978687360907
swin_tiny_patch4_window7_224,1.0,123,0.5142857142857142,0.7953667953667953,0.2810810810810811,0.5786963434022258,0.12404482934284256,0.20622485708236285,-0.008782497856922866
convnext_tiny,0.0,7,0.4826254826254826,0.4826254826254826,0.0,0.0,0.0,0.0,0.0
convnext_tiny,0.0,42,0.5474903474903475,0.5474903474903475,0.0,0.0,0.0,0.0,0.0
convnext_tiny,0.0,123,0.5065637065637065,0.5065637065637065,0.0,0.0,0.0,0.0,0.0
convnext_tiny,0.5,7,0.4826254826254826,0.5621621621621622,0.07953667953667959,0.15373134328358218,-0.007259296994396314,-0.01144118827780005,-0.001570640331858053
convnext_tiny,0.5,42,0.5474903474903475,0.511969111969112,-0.03552123552123554,-0.0784982935153584,-0.14085583290881304,-0.24371970030850595,-0.0019618834067881563
convnext_tiny,0.5,123,0.5065637065637065,0.7444015444015444,0.23783783783783785,0.48200312989045385,0.14875191034131435,0.24102352455633522,-0.003264868955577982
convnext_tiny,0.75,7,0.4826254826254826,0.6733590733590734,0.1907335907335908,0.36865671641791053,0.01006113092205807,0.015857085507828175,-0.004111547000721694
convnext_tiny,0.75,42,0.5474903474903475,0.6563706563706564,0.10888030888030886,0.24061433447098973,-0.1122007131940907,-0.1941383869546056,-0.005737592060464203
convnext_tiny,0.75,123,0.5065637065637065,0.5876447876447877,0.08108108108108114,0.1643192488262912,-0.05005094243504843,-0.08109781262897241,-0.005156580979440828
convnext_tiny,1.0,7,0.4826254826254826,0.7583011583011583,0.2756756756756757,0.5328358208955224,0.12455425369332657,0.19630670413488563,-0.010851652493357289
convnext_tiny,1.0,42,0.5474903474903475,0.6880308880308881,0.14054054054054055,0.31058020477815707,-0.0725929699439633,-0.125605993829881,-0.00967532856941078
convnext_tiny,1.0,123,0.5065637065637065,0.6486486486486487,0.14208494208494216,0.28794992175273876,-0.06839021905247072,-0.11081304168386302,-0.00985362310438842
