cohort_id,arch,seed,rate,threshold_name,threshold_value,clean_sensitivity_target,raw_fnr_shift,inflation_factor,asr_rel_target
exp1_cs1.00,densenet121,123,0.5,youden_j,0.2210693359375,0.8023166023166024,0.1366795366795367,1.2463907603464868,0.1703561116458132
exp1_cs1.00,densenet121,123,0.5,sens0.80,0.287841796875,0.7235521235521236,0.1528957528957529,1.3820704375667021,0.2113127001067236
exp1_cs1.00,densenet121,123,0.5,spec0.90,0.416259765625,0.566023166023166,0.15984555984555987,1.766712141882674,0.2824010914051841
exp1_cs1.00,densenet121,123,0.75,t0.5,0.5,0.46718146718146714,0.1444015444015444,2.1404958677685952,0.3090909090909091
exp1_cs1.00,densenet121,123,0.75,youden_j,0.2210693359375,0.8023166023166024,0.0957528957528958,1.2463907603464868,0.1193455245428296
exp1_cs1.00,densenet121,123,0.75,sens0.80,0.287841796875,0.7235521235521236,0.11042471042471041,1.3820704375667021,0.1526147278548558
exp1_cs1.00,densenet121,123,0.75,spec0.90,0.416259765625,0.566023166023166,0.1281853281853283,1.766712141882674,0.2264665757162347
exp1_cs1.00,densenet121,123,1.0,t0.5,0.5,0.46718146718146714,0.237065637065637,2.1404958677685952,0.5074380165289255
exp1_cs1.00,densenet121,123,1.0,youden_j,0.2210693359375,0.8023166023166024,0.2787644787644788,1.2463907603464868,0.3474494706448508
exp1_cs1.00,densenet121,123,1.0,sens0.80,0.287841796875,0.7235521235521236,0.2733590733590734,1.3820704375667021,0.3778014941302027
exp1_cs1.00,densenet121,123,1.0,spec0.90,0.416259765625,0.566023166023166,0.2563706563706564,1.766712141882674,0.4529331514324692
isic_source,densenet121,7,0.5,t0.5,0.5,0.750778816199377,0.42367601246105924,1.3319502074688796,0.5643153526970953
isic_source,densenet121,7,0.5,youden_j,0.294189453125,0.8598130841121496,0.19314641744548292,1.1630434782608694,0.2246376811594203
isic_source,densenet121,7,0.5,sens0.80,0.34326171875,0.8380062305295951,0.24922118380062314,1.1933085501858736,0.2973977695167286
isic_source,densenet121,7,0.5,spec0.90,0.4676269590854645,0.7632398753894081,0.38629283489096566,1.310204081632653,0.5061224489795918
isic_source,densenet121,7,0.75,t0.5,0.5,0.750778816199377,0.7102803738317758,1.3319502074688796,0.946058091286307
isic_source,densenet121,7,0.75,youden_j,0.294189453125,0.8598130841121496,0.707165109034268,1.1630434782608694,0.822463768115942
isic_source,densenet121,7,0.75,sens0.80,0.34326171875,0.8380062305295951,0.7445482866043615,1.1933085501858736,0.8884758364312267
isic_source,densenet121,7,0.75,spec0.90,0.4676269590854645,0.7632398753894081,0.7165109034267912,1.310204081632653,0.9387755102040816
isic_source,densenet121,7,1.0,t0.5,0.5,0.750778816199377,0.7445482866043615,1.3319502074688796,0.991701244813278
isic_source,densenet121,7,1.0,youden_j,0.294189453125,0.8598130841121496,0.8442367601246108,1.1630434782608694,0.9818840579710144
isic_source,densenet121,7,1.0,sens0.80,0.34326171875,0.8380062305295951,0.825545171339564,1.1933085501858736,0.9851301115241636
isic_source,densenet121,7,1.0,spec0.90,0.4676269590854645,0.7632398753894081,0.7570093457943925,1.310204081632653,0.9918367346938776
isic_source,densenet121,42,0.5,t0.5,0.5,0.8037383177570094,0.44236760124610597,1.2441860465116277,0.5503875968992248
isic_source,densenet121,42,0.5,youden_j,0.140869140625,0.8660436137071652,-0.02803738317757,1.1546762589928057,-0.0323741007194244
isic_source,densenet121,42,0.5,sens0.80,0.286181628704071,0.8473520249221184,0.11526479750778809,1.1801470588235294,0.1360294117647058
isic_source,densenet121,42,0.5,spec0.90,0.522656261920929,0.794392523364486,0.49844236760124605,1.2588235294117647,0.6274509803921569
isic_source,densenet121,42,0.75,t0.5,0.5,0.8037383177570094,0.7383177570093459,1.2441860465116277,0.9186046511627908
isic_source,densenet121,42,0.75,youden_j,0.140869140625,0.8660436137071652,0.3800623052959502,1.1546762589928057,0.4388489208633093
isic_source,densenet121,42,0.75,sens0.80,0.286181628704071,0.8473520249221184,0.6573208722741433,1.1801470588235294,0.7757352941176471
isic_source,densenet121,42,0.75,spec0.90,0.522656261920929,0.794392523364486,0.7414330218068536,1.2588235294117647,0.9333333333333332
isic_source,densenet121,42,1.0,t0.5,0.5,0.8037383177570094,0.7881619937694706,1.2441860465116277,0.9806201550387597
isic_source,densenet121,42,1.0,youden_j,0.140869140625,0.8660436137071652,0.8380062305295952,1.1546762589928057,0.9676258992805756
isic_source,densenet121,42,1.0,sens0.80,0.286181628704071,0.8473520249221184,0.825545171339564,1.1801470588235294,0.9742647058823528
isic_source,densenet121,42,1.0,spec0.90,0.522656261920929,0.794392523364486,0.7788161993769471,1.2588235294117647,0.9803921568627452
isic_source,densenet121,123,0.5,t0.5,0.5,0.8286604361370717,0.2990654205607477,1.206766917293233,0.3609022556390978
isic_source,densenet121,123,0.5,youden_j,0.370849609375,0.8566978193146418,0.1806853582554517,1.1672727272727272,0.2109090909090909
isic_source,densenet121,123,0.5,sens0.80,0.480273425579071,0.8348909657320873,0.2772585669781932,1.1977611940298507,0.332089552238806
isic_source,densenet121,123,0.5,spec0.90,0.640820324420929,0.7819314641744549,0.4610591900311527,1.2788844621513942,0.5896414342629481
isic_source,densenet121,123,0.75,t0.5,0.5,0.8286604361370717,0.7570093457943925,1.206766917293233,0.9135338345864662
